epoch,train loss,train accuracy,test loss,test accuracy
0,0.46698637627348116,50.379746835443036,0.46791898012161254,54.0
1,0.45065201460560667,52.40506329113924,0.4460884615778923,59.0
2,0.4190585525541366,52.40506329113924,0.43248135298490525,55.0
3,0.3993673811230478,55.949367088607595,0.4479239538311958,50.0
4,0.3767970085521288,55.44303797468354,0.4729414016008377,51.0
5,0.36138423758594296,62.0253164556962,0.4136215314269066,55.0
6,0.3324649703653553,62.53164556962025,0.4554825574159622,51.0
7,0.3163800078290927,63.037974683544306,0.44535118862986567,50.0
8,0.30161374514993233,65.0632911392405,0.43298895135521887,52.0
9,0.2762270154832285,68.86075949367088,0.4377200253307819,51.0
10,0.26232638681613946,66.83544303797468,0.4427945211529732,47.0
11,0.2474173548855359,67.84810126582279,0.4080234855413437,50.0
12,0.24517942512337165,69.11392405063292,0.412354576215148,51.0
13,0.19758917183815677,71.13924050632912,0.38510144911706445,54.0
14,0.19845736187092866,72.40506329113924,0.4430874861776829,56.0
15,0.20751752562915224,70.63291139240506,0.43864699862897394,53.0
16,0.1909332649334322,72.9113924050633,0.4053649682551622,56.0
17,0.19973926250881788,74.9367088607595,0.43969324231147766,54.0
18,0.17330245843416528,77.46835443037975,0.35500499680638314,55.0
19,0.15069709506027307,81.77215189873418,0.42443143855780363,49.0
20,0.13562817168952543,83.54430379746836,0.38622063025832176,57.0
21,0.13827324559605575,86.07594936708861,0.38951199389994146,57.0
22,0.1233876500090089,87.84810126582279,0.39015885442495346,59.0
23,0.11960369968621791,88.10126582278481,0.46642776280641557,51.0
24,0.11247680975194974,89.36708860759494,0.44818762242794036,53.0
25,0.09474004108364446,90.37974683544304,0.4181158509105444,57.0
26,0.07824710748288073,93.41772151898734,0.44110061377286913,54.0
27,0.10476696413434759,91.64556962025317,0.4630332201719284,57.0
28,0.0986034095617412,91.64556962025317,0.44433637484908106,59.0
29,0.07620465051665713,93.67088607594937,0.4024196621030569,63.0
30,0.07910760481476406,93.16455696202532,0.42760208398103716,52.0
31,0.07221505184999749,93.92405063291139,0.4264759287238121,57.0
32,0.05131394079520921,96.9620253164557,0.38739378526806834,64.0
33,0.043062274332476565,97.21518987341773,0.40202305689454076,65.0
34,0.04892408660660156,97.46835443037975,0.44827964901924133,56.0
35,0.04364162875056456,96.9620253164557,0.4350157331675291,60.0
36,0.058529958971835015,95.9493670886076,0.425352063216269,65.0
37,0.06188058325006992,95.9493670886076,0.4584869027137756,57.0
38,0.05350692475014189,97.72151898734177,0.47880956474691627,56.0
39,0.05778916810102808,95.69620253164557,0.42492086701095105,61.0
